grant_id,Title,Donations Standard deviation,Variety of tokens,Variety of chain,Variety of days,Votes,Total raised
5216,B Ú A N _,5.883554713535805,3,2,3,3,21.0126215
5078,Fact-of-Existing / F-o-E_game,5.63990258123021,3,3,3,4,21.138415000000002
7884,Ethereum Subdomain Factory,2.6654524132413093,4,3,5,10,21.1652466
6448,BlockTracker,4.762931743900619,2,2,3,4,21.328091075
7357,Deplastifying the Planet with,4.980401239246582,2,1,2,3,21.340000000000003
2100,DeFi simpler than ever in Span,1.2137579573158896,5,3,6,12,21.398262019500002
2743,PawnSpace - Decentralized NFT,1.00620462246279,4,2,10,15,21.634548430000002
1625,Primitives Lane,1.9953678145742675,2,2,3,3,21.961735
6224,Sonorus,4.349963448205957,3,3,4,5,22.071534600000003
5283,Entropyfi X $gOHM product on A,4.456918077137459,3,2,2,3,22.085196
4944,KUMO - Money backed by Nature,2.5545217273695857,2,3,5,11,22.113712
6762,PhotoChromic Soulbound NFT and,2.7592691806182943,4,3,5,9,22.22553887455
5035,The DAOist,6.464390464691933,3,3,3,3,22.440599999999996
139,defiprime.com,1.102001995306843,5,3,9,14,22.459924779999998
7136,DAOCrossing,8.528250016765847,3,1,2,3,22.57041
6645,AKI Network: A Data-Powered We,0.6577942611590747,4,3,8,16,22.719859745
7619,Bitcoinwiki.org,4.784233364802441,2,2,3,3,23.0
7867,Mutual Love: LGBTQ+ Creator Eq,2.241376176406238,1,1,5,5,23.071014556399998
1499,taoDAO :: co-creating through,4.8403880792897,3,2,3,5,23.175318
5971,SurfDB: the database your dapp,3.5865745406470686,4,2,4,5,23.22604431904836
6002,MetaJam - Link Your Pals to BU,4.391443244659016,3,2,4,6,23.337683175000002
1311,Unknown :  Defi Education,4.324648077933832,2,3,4,6,23.54759066
7012,Nifty Sparks | ENS community h,9.82775,2,2,2,2,23.6555
3443,Bitcoin Automatic Investment,6.150735655340343,3,2,3,4,23.8961
1609,ETH Colombia community growth,1.5272462585399729,3,3,4,6,24.0008523
